Method,Prompt,Prompt Settings,Trainable Part,Adapter,Adapter Location,Epochs,Trainable Params,Kvasir Dice,Kvasir mIoU,ClinicDB Dice,ClinicDB mIoU,Notes
Adapter,Points,1 point,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.85,0.77,0.76,0.66,loss=bce_iou
Adapter,Points,2 points,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.87,0.79,0.83,0.74,loss=bce_iou
Adapter,Points,3 points,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.89,0.81,0.84,0.76,loss=bce_iou
Adapter,Points,4 points,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.90,0.83,0.85,0.77,loss=bce_iou
Adapter,Box,0% noise,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.91,0.86,0.89,0.82,loss=bce_iou
Adapter,Box,10% noise,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.91,0.85,0.88,0.81,loss=bce_iou
Adapter,Box,20% noise,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.90,0.83,0.87,0.80,loss=bce_iou
Adapter,Box,30% noise,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.88,0.81,0.83,0.75,loss=bce_iou
Adapter,Box,40% noise,Mask Decoder,Bottleneck,Transformer MLP,20,66K / 39.03M,0.85,0.77,0.80,0.71,loss=bce_iou
