Method,Prompt,Prompt Settings,Trainable Part,Adapter,Adapter Location,Epochs,Trainable Params,Kvasir Dice,Kvasir mIoU,ClinicDB Dice,ClinicDB mIoU,Notes
Fine-tuning,Points,1 point,Mask Decoder,-,-,20,4.22M / 38.96M,0.89,0.83,0.86,0.78,loss=bce_iou
Fine-tuning,Points,2 points,Mask Decoder,-,-,20,4.22M / 38.96M,0.91,0.85,0.87,0.79,loss=bce_iou
Fine-tuning,Points,3 points,Mask Decoder,-,-,20,4.22M / 38.96M,0.92,0.86,0.87,0.80,loss=bce_iou
Fine-tuning,Points,4 points,Mask Decoder,-,-,20,4.22M / 38.96M,0.92,0.86,0.87,0.80,loss=bce_iou
Fine-tuning,Box,0% noise,Mask Decoder,-,-,20,4.22M / 38.96M,0.92,0.87,0.89,0.82,loss=bce_iou
Fine-tuning,Box,10% noise,Mask Decoder,-,-,20,4.22M / 38.96M,0.92,0.86,0.89,0.82,loss=bce_iou
Fine-tuning,Box,20% noise,Mask Decoder,-,-,20,4.22M / 38.96M,0.90,0.85,0.88,0.80,loss=bce_iou
Fine-tuning,Box,30% noise,Mask Decoder,-,-,20,4.22M / 38.96M,0.90,0.84,0.87,0.80,loss=bce_iou
Fine-tuning,Box,40% noise,Mask Decoder,-,-,20,4.22M / 38.96M,0.88,0.82,0.87,0.79,loss=bce_iou
